hour,mean,std_error,lower_bound,upper_bound,n
0,104.04,0.1387,103.35,104.73,419
1,103.74,0.1935,102.77,104.7,420
2,103.1,0.252,101.84,104.36,420
3,102.2,0.3924,100.23,104.16,420
4,103.59,0.1286,102.94,104.23,420
5,102.82,0.1503,102.07,103.57,420
6,95.86,0.4355,93.68,98.04,420
7,75.27,0.7875,71.33,79.21,420
8,62.77,0.9666,57.94,67.6,423
9,49.05,0.9157,44.47,53.62,432
10,40.41,0.8111,36.35,44.47,432
11,41.71,0.8396,37.51,45.91,432
12,60.16,1.1201,54.56,65.76,432
13,79.96,1.036,74.78,85.14,432
14,85.52,0.8226,81.41,89.63,432
15,88.79,0.6727,85.42,92.15,432
16,90.97,0.461,88.66,93.27,432
17,92.06,0.3028,90.55,93.58,432
18,93.07,0.2803,91.67,94.47,432
19,97.08,0.2225,95.97,98.19,432
20,99.32,0.1489,98.58,100.07,432
21,99.5,0.1842,98.58,100.43,432
22,101.4,0.1861,100.47,102.33,432
23,103.57,0.1028,103.06,104.08,404
